"Timestamp","Please.indicate..in.the.box.below..that.you.are.at.least.18.years.old..have.read.and.understand.this.consent.form..and.you.agree.to.participate.in.this.online.research.study.","MFQ1","MFQ2","MFQ3","MFQ4","MFQ5","MFQ6","MFQ7","MFQ8","MFQ9","MFQ10","MFQ11","MFQ12","MFQ13","MFQ14","MFQ15","MFQ16","MFQ17","MFQ18","MFQ19","MFQ20","MFQ21","MFQ22","MFQ23","MFQ24","MFQ25","MFQ26","MFQ27","MFQ28","MFQ29","MFQ30","MFQ31","MFQ32","ICS1","ICS2","ICS3","ICS4","ICS5","ICS6","ICS7","ICS8","ICS9","ICS10","What.is.your.age..in.years..","What.is.your.sex.","Do.you.have.an.active.Twitter.account.","How.often.do.you.use.or.browse.Twitter.using.your.account...approximately.","Approximately.how.many.followers.do.you.have.","If.you.do.have.a.Twitter.account..to.what.degree.do.you.use.Twitter.to.post.or.retweet.about.political..social..or.economic.issues.that.are.important.to.you..Please.skip.this.question.if.you.do.not.have.an.active.Twitter.account.","If.you.do.have.a.Twitter.account..is.your.account.public.or.private..","Twitter.username..the.exact.name.that.comes.after.....on.your.twitter.profile..","Worker.ID","Probably_fake","response_ID","Harm","Fairness","Loyalty","Authority","Purity","ICS_score"
"4/24/19 14:46","I agree to participate.",4,4,3,3,4,0,4,4,3,3,3,4,4,3,4,0,3,5,3,4,2,5,5,4,2,0,1,4,1,4,4,0,1,-1,1,1,1,1,-1,-1,-1,-1,33,"Male","Yes","two to three times per day","less than 100",2,"Private","","AZOLOOMYRN1K0","",16,24,22,18,18,10,0
"4/24/19 14:47","I agree to participate.",5,5,4,3,3,0,5,4,2,3,2,4,5,4,4,3,5,5,5,3,2,5,5,5,1,1,1,5,3,0,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,"Female","Yes","At least once a day","300 to 400",5,"Private","","A2HVJ3DDE6JJ8Z","",17,29,27,16,16,13,-8
"4/24/19 14:47","I agree to participate.",5,5,0,3,4,0,5,5,1,1,0,5,5,1,3,3,5,3,5,5,0,5,5,4,0,4,0,0,0,2,4,5,1,1,1,1,1,1,1,1,-1,-1,41,"Female","Yes","At least once a day","200 to 300",6,"Private","","A1H4GJFI4NJWKV","",18,25,22,9,20,12,6
"4/24/19 14:47","I agree to participate.",4,4,0,0,0,0,5,4,4,2,1,5,5,2,2,0,5,5,0,0,1,5,4,5,2,1,1,2,4,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,"Female","Yes","At least once a day","100 to 200",5,"Public","","A2ZRF4I5RTKN7G","",19,25,27,10,5,3,-10
"4/24/19 14:47","I agree to participate.",4,4,3,4,1,1,3,4,4,4,4,4,4,4,5,5,4,5,2,3,1,4,4,3,4,3,4,0,2,3,4,2,1,-1,-1,1,-1,-1,-1,-1,-1,-1,42,"Male","Yes","four to five times per day or more","500 to 600",6,"Public","","A3T8F20W5KKY9Y","",20,19,22,20,23,17,-6
"4/24/19 14:47","I agree to participate.",4,5,2,3,2,0,3,5,4,2,2,5,5,3,2,1,2,5,2,4,2,5,2,5,2,3,2,1,1,3,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,"Male","Yes","four to five times per week","less than 100",3,"Private","","A1HMO9XPRPUPWJ","",21,17,26,16,17,11,-8
"4/24/19 14:47","I agree to participate.",3,4,1,1,3,0,4,5,2,1,1,4,5,1,5,5,3,4,4,4,4,5,1,4,2,1,4,2,0,1,4,5,1,1,1,1,1,1,-1,1,1,1,41,"Male","Yes","two to three times per week","less than 100",4,"Public","CtheFrood","A2MCRVU8I9VNHG","",22,17,22,11,16,22,8
"4/24/19 14:48","I agree to participate.",5,5,1,1,1,1,4,3,3,1,2,5,5,3,1,0,4,5,2,1,1,5,5,4,0,2,2,0,2,1,3,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,48,"Female","Yes","less than once per week","less than 100",1,"Private","","A3T2Y5M54J7DR1","",23,23,24,10,9,6,-8
"4/24/19 14:48","I agree to participate.",4,4,0,3,0,0,4,4,0,0,0,5,5,0,4,0,5,5,4,4,0,5,5,5,1,3,0,5,0,2,3,5,1,-1,1,-1,1,1,-1,-1,-1,-1,50,"Male","Yes","two to three times per week","200 to 300",3,"Private","","A1UW0C6QZOT3E7","",24,28,23,7,17,5,-2
"4/24/19 14:48","I agree to participate.",4,4,2,2,2,0,3,2,3,2,2,4,3,1,2,1,3,4,1,2,1,4,5,3,1,1,1,5,1,2,3,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,41,"Female","Yes","less than once per week","less than 100",2,"Private","","A3GTPW3MYSLMR7","",25,24,17,10,12,9,-6
"4/24/19 14:48","I agree to participate.",5,5,2,2,3,0,2,3,3,2,2,4,3,3,2,2,5,5,1,3,0,4,5,4,1,2,0,5,3,2,3,0,1,-1,1,-1,1,1,-1,-1,-1,-1,38,"Female","Yes","two to three times per day","300 to 400",4,"Private","","A1ZHYS5O0CKLXB","",26,26,23,12,14,7,-2
"4/24/19 14:49","I agree to participate.",4,4,0,3,2,0,5,4,1,1,1,4,5,2,5,0,4,5,1,3,2,5,5,5,3,3,1,2,1,3,2,3,1,-1,-1,1,-1,-1,-1,1,-1,-1,43,"Male","Yes","four to five times per day or more","less than 100",5,"Public","thom1nDun","A1PJUYJ7W2LKKQ","",27,24,24,10,17,9,-4
"4/24/19 14:49","I agree to participate.",4,1,0,3,3,0,5,2,0,2,2,5,2,0,3,0,5,5,3,5,5,5,5,5,4,0,4,5,1,1,1,4,1,-1,-1,-1,1,1,-1,-1,-1,1,30,"Female","Yes","four to five times per day or more","100 to 200",6,"Public","","A5EU1AQJNC7F2","",28,29,16,8,14,18,-2
"4/24/19 14:49","I agree to participate.",5,5,4,3,2,0,5,5,4,3,2,5,5,4,3,1,5,5,4,4,0,5,5,5,1,5,5,0,0,0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,"Female","Yes","four to five times per day or more","100 to 200",NA,"Public","","A1CC1ESUM2JWJ2","",29,25,25,17,23,11,-8
"4/24/19 14:49","I agree to participate.",2,3,3,2,3,3,2,3,3,2,3,4,2,3,3,2,2,3,2,2,3,3,2,2,3,3,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,31,"Male","Yes","two to three times per week","100 to 200",4,"Public","","na","",30,14,16,17,15,16,10
"4/24/19 14:49","I agree to participate.",5,5,2,3,5,0,5,5,3,1,4,5,5,3,5,5,5,5,5,5,5,5,5,5,3,5,5,0,4,0,0,5,1,1,1,-1,1,1,-1,-1,1,1,33,"Male","Yes","two to three times per week","less than 100",2,"Public","bigearnhardtfan","A1KZ21TSAYUHO4","",31,25,29,16,19,29,4
"4/24/19 14:49","I agree to participate.",5,4,5,5,1,0,1,0,0,2,0,1,4,2,1,4,5,0,4,4,0,4,5,1,4,0,0,0,0,0,5,4,1,1,1,1,1,1,1,1,1,-1,33,"Male","Yes","four to five times per week","less than 100",3,"Public","Jebwhitley","A2UO3QJZNC2VOE","",32,17,9,15,17,9,8
"4/24/19 14:49","I agree to participate.",5,4,2,4,5,0,4,4,3,2,3,5,5,3,4,5,3,4,3,5,5,5,5,3,2,3,4,3,1,4,4,5,1,-1,1,1,1,1,-1,-1,-1,1,39,"Female","Yes","less than once per week","less than 100",2,"Private","","A32YYM8WVR8B7S","",33,25,21,17,22,27,2
"4/24/19 14:49","I agree to participate.",4,5,0,0,2,0,0,5,0,0,0,2,5,0,0,0,4,5,0,1,1,4,3,4,0,0,4,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,"Male","Yes","two to three times per day","400 to 500",4,"Public","cocainequiches","A1B2V27QSGPT6W","",34,13,24,0,1,7,-10
"4/24/19 14:49","I agree to participate.",5,5,0,5,5,0,5,5,3,3,4,5,5,3,5,4,5,0,3,5,4,5,0,4,2,5,5,4,0,0,5,3,1,1,1,1,1,1,-1,-1,-1,1,58,"Male","Yes","At least once a day","200 to 300",1,"Public","","A2WDF40FA670T9","",35,24,19,11,28,25,4
"4/24/19 14:50","I agree to participate.",5,5,3,4,5,0,4,5,4,3,3,5,5,4,5,5,4,5,4,5,4,5,4,4,3,5,5,3,3,2,5,5,-1,-1,-1,-1,1,1,-1,-1,-1,1,48,"Female","Yes","At least once a day","less than 100",4,"Private","","A31U7VGTEOY2RG","",36,25,27,20,27,27,-4
"4/24/19 14:50","I agree to participate.",5,5,0,0,0,0,5,5,1,0,0,5,5,1,2,0,5,5,1,0,0,5,3,5,2,0,0,4,4,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,"Male","Yes","less than once per week","less than 100",2,"Public","enden_zwei","A22KRF782ELLB0","",37,27,29,6,3,0,-10
"4/24/19 14:50","I agree to participate.",2,5,1,1,0,0,3,5,2,0,0,2,5,1,1,0,1,5,1,1,0,5,0,1,0,0,0,4,5,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,"Male","Yes","two to three times per day","less than 100",5,"Public","jeremyburch","A19ZWBQT8A3LIR","",39,12,26,9,3,0,-10
"4/24/19 14:50","I agree to participate.",4,4,1,1,0,0,4,4,1,0,0,4,5,1,4,0,3,4,3,1,1,5,1,2,1,0,0,1,4,3,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,"Male","Yes","two to three times per day","100 to 200",2,"Private","","AMPMTF5IAAMK8","",40,17,23,10,10,1,-10
"4/24/19 14:50","I agree to participate.",4,4,5,5,3,0,3,4,4,4,2,4,5,5,5,0,4,5,5,5,3,4,5,5,5,3,4,5,0,3,5,0,1,-1,1,1,1,1,-1,-1,-1,1,39,"Male","Yes","two to three times per week","less than 100",3,"Private","","A2GA29WTMFW2W","",41,25,23,27,27,12,2
"4/24/19 14:51","I agree to participate.",4,4,4,5,5,0,5,5,5,3,4,5,5,4,4,1,3,4,1,4,4,5,5,3,2,4,1,1,2,3,4,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,34,"Male","Yes","two to three times per week","100 to 200",3,"Private","","ANBBGSBQD1OIJ","",42,23,23,19,24,16,-8
"4/24/19 14:51","I agree to participate.",4,5,2,2,1,0,3,4,2,2,0,3,5,2,2,0,4,5,2,1,0,3,5,5,3,2,0,5,1,2,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,"Male","Yes","At least once a day","less than 100",4,"Private","fufufu101010","A2USG66RL7MM4E","",43,24,25,13,12,2,-8
"4/24/19 14:51","I agree to participate.",5,5,4,4,3,0,5,4,3,2,3,5,5,3,3,2,5,4,4,4,3,5,5,4,3,4,2,3,4,2,4,3,1,-1,-1,-1,-1,1,-1,-1,-1,-1,47,"Female","Yes","two to three times per week","less than 100",1,"Public","dcraftycottage","AASQHRMEAPCHZ","",44,28,26,19,21,16,-6
"4/24/19 14:51","I agree to participate.",0,5,1,5,5,0,1,5,3,3,3,5,5,3,5,0,5,5,5,5,4,5,4,5,3,1,5,3,1,1,2,1,1,-1,1,1,1,-1,-1,1,1,-1,28,"Male","Yes","four to five times per day or more","100 to 200",7,"Private","","A2WXA938XGWM6J","",45,18,26,16,21,18,2
"4/24/19 14:51","I agree to participate.",5,3,4,4,3,1,4,4,3,4,4,5,4,4,3,3,1,3,4,4,5,5,3,4,4,3,3,3,2,1,4,2,1,1,1,1,1,1,1,1,1,-1,49,"Male","Yes","At least once a day","less than 100",2,"Private","","A2CK615DQZY1DV","",46,21,20,20,22,20,8
"4/24/19 14:52","I agree to participate.",3,3,2,3,4,0,4,4,3,3,3,5,3,3,3,5,4,3,2,4,3,5,3,3,2,5,3,2,2,3,4,5,-1,1,-1,1,1,1,-1,1,1,1,51,"Female","Yes","less than once per week","less than 100",1,"Public","aharbican","A1879O6JNJ6ZIY","",47,21,18,15,22,23,4
"4/24/19 14:52","I agree to participate.",5,5,0,0,0,0,5,5,2,0,0,5,5,1,1,0,5,4,0,0,0,5,5,4,0,0,0,2,5,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,"Female","No","N/A ( I do not have a Twitter account)","",1,"N/A (I do not have a Twitter account)","","A3SGR153YCJ1XN","",48,27,28,4,1,0,-10
"4/24/19 14:52","I agree to participate.",2,3,3,3,4,3,2,3,2,3,3,2,3,3,3,3,2,3,3,3,3,2,2,4,1,3,2,3,4,2,3,3,-1,-1,1,1,1,1,-1,-1,1,-1,27,"Female","Yes","four to five times per week","200 to 300",5,"Private","","AY5NQ32WP3BBI","",49,13,20,14,18,18,0
"4/24/19 14:53","I agree to participate.",2,1,0,4,3,0,1,3,3,3,4,5,3,2,4,0,1,5,3,5,5,5,5,4,3,4,4,2,2,3,3,0,1,-1,1,1,1,-1,-1,-1,-1,-1,36,"Male","Yes","less than once per week","less than 100",1,"Private","","A2Y749J0XM6TIW","",50,16,18,14,23,16,-2
"4/24/19 14:53","I agree to participate.",4,4,1,3,4,0,5,2,1,2,3,4,5,1,4,0,4,5,1,4,2,5,5,3,2,0,2,4,5,1,2,4,1,-1,-1,-1,1,1,-1,-1,-1,-1,39,"Female","Yes","two to three times per week","less than 100",2,"Private","","A1CFPKUOCGJIM6","",51,26,24,7,15,15,-4
"4/24/19 14:53","I agree to participate.",4,4,5,3,4,0,4,4,4,4,5,5,4,4,4,3,3,3,4,4,1,5,5,4,4,4,3,0,0,2,3,3,1,1,1,1,1,1,-1,1,1,-1,45,"Male","Yes","less than once per week","100 to 200",2,"Public","jondonson","A34TVS5NMPO3O2","",52,21,19,23,22,19,6
"4/24/19 14:53","I agree to participate.",4,2,2,3,4,0,5,5,2,3,4,4,3,2,3,5,4,2,3,4,4,5,3,4,3,3,4,2,0,2,3,5,-1,-1,1,1,-1,-1,-1,-1,-1,-1,26,"Male","Yes","At least once a day","less than 100",3,"Private","","A2GV9WSNSPX53","",53,22,16,14,19,26,-6
"4/24/19 14:53","I agree to participate.",5,5,3,3,2,0,5,5,3,3,0,5,5,2,3,0,5,5,3,5,0,5,5,5,2,0,0,0,0,1,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,"Female","Yes","At least once a day","800 to 900",5,"Public","LVNGD","A2FARB7LA24AU8","",54,25,25,14,19,2,-10
"4/24/19 14:53","I agree to participate.",5,3,3,3,5,0,3,2,4,0,1,5,4,4,5,5,5,3,5,4,4,5,2,3,4,4,5,4,0,3,3,4,1,1,1,1,1,1,1,-1,1,1,49,"Female","Yes","two to three times per week","less than 100",4,"Private","","A3Q0XAGQ7TD7MP","",55,24,15,23,19,24,8
"4/24/19 14:53","I agree to participate.",5,5,3,5,5,0,4,5,3,3,4,5,5,3,3,5,5,5,4,5,4,5,5,5,2,4,5,1,0,3,3,5,-1,1,-1,-1,-1,-1,-1,-1,1,1,47,"Male","Yes","two to three times per week","500 to 600",3,"Public","chasingpeacocks","A5P78B8P70TOJ","",56,25,25,18,23,28,-4
"4/24/19 14:54","I agree to participate.",4,3,2,4,2,4,3,2,4,3,4,2,3,4,3,2,4,3,2,3,4,2,3,1,3,2,4,3,2,1,3,2,1,-1,1,1,-1,-1,1,1,-1,-1,27,"Male","Yes","four to five times per week","less than 100",6,"Public","willjohnson1942","APF1EAZT104LQ","",57,19,14,16,18,18,0
"4/24/19 14:55","I agree to participate.",3,2,3,3,4,0,5,4,3,3,4,5,5,3,3,0,4,4,4,3,3,5,5,4,0,1,5,2,0,0,5,1,1,-1,-1,1,1,-1,1,1,-1,-1,55,"Male","Yes","At least once a day","100 to 200",4,"Private","","A2F7I73MT6L4CI","",58,24,19,13,18,17,0
"4/24/19 14:55","I agree to participate.",5,5,2,2,1,0,5,5,3,2,1,5,5,4,3,0,5,5,3,1,2,5,5,3,4,0,1,4,5,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,"Male","Yes","four to five times per day or more","less than 100",6,"Public","Joselito_D","A1VAL7L9L79IN0","",60,29,28,18,8,5,-10
"4/24/19 14:55","I agree to participate.",4,4,2,1,3,0,2,3,3,2,4,4,4,2,3,2,4,5,3,4,3,5,5,3,3,2,3,5,1,4,4,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,54,"Female","Yes","less than once per week","less than 100",2,"Private","","A3CPEU34CX5607","",61,24,20,17,16,16,-4
"4/24/19 14:55","I agree to participate.",4,4,0,3,3,0,5,4,4,1,2,5,4,4,4,0,5,5,0,3,3,5,5,1,4,3,3,4,5,4,4,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,"Female","Yes","At least once a day","200 to 300",6,"Public","adirondack93","A3L2VS3998R77L","",62,28,23,16,18,15,-8
"4/24/19 14:56","I agree to participate.",4,3,1,2,3,0,4,4,2,2,4,5,4,3,4,0,4,4,3,3,2,4,5,4,3,3,2,4,3,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,"Male","Yes","two to three times per day","more than 1000",6,"Public","g90opklnm","A37W0GRXSM04LX","",63,26,22,14,16,13,-10
"4/24/19 14:56","I agree to participate.",4,5,1,1,1,0,4,4,2,1,1,4,5,2,3,3,4,3,5,3,1,5,4,5,3,0,1,4,1,2,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,"Female","Yes","two to three times per week","100 to 200",5,"Public","","AOIK8K4X34LGR","",64,24,23,15,11,7,-10
"4/24/19 14:56","I agree to participate.",3,4,3,4,4,0,3,3,4,3,3,4,4,3,4,3,3,3,3,3,3,5,3,4,4,3,3,3,2,3,3,3,1,1,1,1,1,-1,-1,-1,-1,-1,35,"Male","Yes","less than once per week","less than 100",1,"Public","","A361EVMLK9O0G1","",65,19,20,20,20,19,0
"4/24/19 14:56","I agree to participate.",3,4,3,2,2,1,2,5,3,3,4,5,3,5,3,3,3,3,2,4,4,2,5,4,1,4,4,3,2,4,4,4,-1,1,1,-1,-1,-1,-1,1,-1,-1,30,"Male","Yes","At least once a day","100 to 200",3,"Public","Rubbed6","AT60ESWGVSAG9","",66,21,21,18,20,21,-4
"4/24/19 14:57","I agree to participate.",3,5,1,1,3,0,5,4,1,1,4,4,5,2,3,2,3,5,2,3,4,5,4,5,3,0,4,0,4,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,"Female","Yes","four to five times per day or more","400 to 500",5,"Public","hannahnorem","A1MIBEGF81ZLUS","",69,19,28,10,9,17,-10
"4/24/19 14:57","I agree to participate.",4,3,1,2,3,2,4,3,3,4,3,3,4,2,2,4,3,3,4,5,3,5,4,2,4,3,4,5,3,3,2,3,-1,1,1,-1,-1,1,1,-1,1,-1,36,"Female","No","less than once per week","500 to 600",3,"Private","ashleygbean","A2Z7W25ZQ8PENR","",70,23,18,17,18,20,0
"4/24/19 14:57","I agree to participate.",5,5,5,0,5,5,5,0,5,5,5,0,0,5,5,5,5,0,5,5,5,0,0,5,5,0,5,5,5,0,5,5,1,-1,-1,1,-1,1,-1,1,-1,1,29,"Female","Yes","four to five times per day or more","more than 1000",7,"Public","shannonstearns4","AXU1TF7YTKKMH","",71,20,15,25,20,30,0
"4/24/19 14:57","I agree to participate.",4,4,1,2,1,1,4,4,1,1,2,4,5,1,4,0,4,4,1,2,1,4,4,5,4,4,2,4,3,2,2,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,40,"Female","Yes","less than once per week","200 to 300",5,"Private","","A1T0ND039EWAVV","",72,24,25,10,15,9,-6
"4/24/19 14:58","I agree to participate.",4,5,1,1,1,0,5,5,1,0,1,5,5,1,2,1,5,5,1,1,0,5,5,5,2,0,0,4,4,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,"Male","Yes","At least once a day","less than 100",2,"Private","","AIK9IRPT4M848","",73,28,29,8,6,4,-10
"4/24/19 14:59","I agree to participate.",4,3,3,3,3,1,4,4,3,4,3,4,3,3,4,3,4,4,4,4,2,5,5,3,3,3,3,3,2,3,4,3,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,36,"Male","Yes","two to three times per week","less than 100",3,"Public","","A9I170BQRL0LK","",75,24,19,19,22,17,-8
"4/24/19 14:59","I agree to participate.",4,5,1,3,3,0,5,4,2,3,3,5,5,2,3,0,4,4,3,3,2,5,4,4,2,1,1,1,5,2,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,"Male","Yes","two to three times per week","less than 100",1,"Private","","A33921T4I2XIRS","",76,23,27,12,16,9,-10
"4/24/19 14:59","I agree to participate.",5,1,1,2,3,0,4,2,5,0,1,4,4,4,0,0,5,0,3,1,1,4,2,4,2,4,2,1,2,2,2,2,1,-1,-1,1,1,1,-1,-1,-1,1,31,"Male","Yes","four to five times per week","100 to 200",7,"Private","","AMJ1GAUE8HDDH","",77,21,13,17,9,9,0
"4/24/19 14:59","I agree to participate.",0,0,0,2,5,0,0,5,5,4,5,5,0,4,5,0,3,2,2,3,5,5,5,3,2,3,5,5,2,1,3,3,-1,-1,1,1,1,-1,-1,-1,-1,-1,29,"Male","Yes","two to three times per day","less than 100",2,"Private","","A2541C8MY0BYV3","",78,18,12,14,20,23,-4
"4/24/19 14:59","I agree to participate.",3,5,0,0,0,0,3,5,3,0,0,0,5,0,0,0,2,5,0,0,0,5,1,5,0,2,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,"Male","Yes","two to three times per week","less than 100",2,"Public","POPFLYBALL","A2RCYLKY072XXO","",79,10,25,3,2,0,-8
"4/24/19 14:59","I agree to participate.",3,3,0,1,3,0,4,4,1,1,2,5,5,0,4,0,3,4,2,3,3,5,4,3,2,3,3,3,4,2,3,3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,30,"Male","Yes","At least once a day","less than 100",1,"Public","","A3UIDRGBV9NJWR","",80,22,23,7,15,14,-8
